"","HHID","SINGLE","FEMALE_HEAD","AGE_HEAD","EDUCATION_HEAD","DEPENDENCY_RATIO","SOCIAL_PARTICIPATION","COFFEE_TREES","COFFEE_TREES_SQR","PROPORTION_LAND_RENTED","ASSETS","ALTITUDE","DISTANCE_PAVED_ROAD","DECISION_DISAGREEMENTS","INPUT_PREFERENCES","EASE_MARKETING_PREFERENCES","PRICE_PREFERENCES","RELATIVE_PRICE_DIFFERENTIAL","BINARY_PARTICIPATION","CONTINUOUS_PARTICIPATION"
"32","2102",0,0,75,9,0.4,1,1.6,2.56,0.299990115646931,5.55,1.652,5.71880647706575,1,0,1,0,0.1,0,0
"33","2430",0,0,53,9,2,1,0.7,0.49,0,0.78,1.655,5.12444973899021,0,0,0,1,0,0,0
"34","3506",0,0,56,12,2,0,0.2,0.04,0,10.31,1.655,5.12444973899021,0,1,0,0,0,0,0
"35","6549",0,0,70,7,1,1,1,1,0,2.42,1.655,5.12444973899021,1,0,0,1,-0.1,0,0
"36","9984",0,0,46,9,13,1,0.9,0.81,0.5,6.02,1.652,5.71880647706575,1,0.024,0.208,0.431,-0.15,0,0
"37","5138",0,0,90,0,0.5,0,0.3,0.09,0,0.4,1.655,5.12444973899021,1,0,0,0,0.7,0,0
"38","5769",0,0,83,4,0.625,1,0.9,0.81,0,1.21,1.837,1.20882418104671,0,0,0,1,0,0,0
"39","8281",0,0,54,12,3.5,1,1.6,2.56,0,3.67,1.844,0.387220249479995,1,0,0.207,0,0,0,0
"40","3768",0,0,38,9,6,0,0.5,0.25,0,1.06,1.844,0.387220249479995,1,1,0,0,0,0,0
"41","1526",0,0,68,7,0.5,1,1.3,1.69,0,2.14,1.837,1.20882418104671,1,0,0,1,0,0,0
"42","9742",0,0,79,9,4,1,1.2,1.44,0,11.73,1.837,1.20882418104671,0,0.016,0.407,0.031,0,0,0
"43","1626",0,0,45,7,8,0,0.85,0.7225,0,2.36,1.837,1.20882418104671,1,0,0,0,0,0,0
"44","6507",0,0,44,4,2,1,2.5,6.25,0,5.36,1.962,2.24180315191297,0,0,0,1,0.15,0,0
"45","3475",0,0,37,7,3.5,1,2,4,0.5,5.95,1.94,4.35652279756461,1,0,0,1,0,0,0
"46","8102",0,0,62,9,6,1,1.8,3.24,0,10.59,1.94,4.35652279756461,1,0,1,0,0,0,0
"47","7545",0,0,60,7,5,0,0.25,0.0625,0,0.34,1.94,4.35652279756461,1,0,0,0,0.2,0,0
"48","1245",0,0,70,7,1.25,1,1,1,0.332967032967033,2.38,1.94,4.35652279756461,0,0,0,1,0.2,0,0
"49","1161",0,0,76,4,0.5,0,0.45,0.2025,0,2,1.94,4.35652279756461,0,1,0,0,-0.2,0,0
"50","2970",0,0,79,7,0.428571428571429,0,0.9,0.81,0,7.71,2.072,3.98106794272203,1,0,0.794,0.207,0.6,0,0
