"","HHID","FEMALE","SINGLE","FEMALE_HEAD","AGE","EDUCATION","DEPENDENCY_RATIO","SOCIAL_PARTICIPATION","COFFEE_TREES","COFFEE_TREES_SQR","PROPORTION_LAND_RENTED","ASSETS","ALTITUDE","DISTANCE_PAVED_ROAD","DECISION_DISAGREEMENTS","INPUT_PREFERENCES","EASE_MARKETING_PREFERENCES","PRICE_PREFERENCES","RELATIVE_PRICE_DIFFERENTIAL","BINARY_PARTICIPATION"
"65","3506",1,0,0,53,7,2,1,1.3,1.69,0,0.67,1.655,5.12444973899021,0,0,0,1,2,0
"66","2102",1,0,0,64,4,1,0,0.9,0.81,0,0.89,1.652,5.71880647706575,1,0,0,1,1,0
"67","6549",1,0,0,52,12,0.333333333333333,1,0.8,0.64,0,0.57,1.655,5.12444973899021,1,0.667,0,0,1,0
"68","6549",0,0,0,70,7,1,1,1,1,0,1.15,1.655,5.12444973899021,1,0,0,1,1,0
"69","9984",0,0,0,46,9,13,1,0.9,0.81,0.5,2.99,1.652,5.71880647706575,1,0.024,0.208,0.431,2,0
"70","9984",1,0,0,40,7,10,0,0.85,0.7225,0.066561223144853,0.95,1.652,5.71880647706575,1,0,0,1,1,0
"71","5138",0,0,0,90,0,0.5,0,0.3,0.09,0,0.2,1.655,5.12444973899021,1,0,0,0,1,0
"72","5138",1,0,0,73,4,2,1,0.6,0.36,0,0.28,1.655,5.12444973899021,1,0,0,1,1,0
"73","5769",0,0,0,83,4,0.625,1,0.9,0.81,0,0.54,1.837,1.20882418104671,0,0,0,1,1,0
"74","5769",1,0,0,80,0,0.3,1,0.5,0.25,0,0.44,1.837,1.20882418104671,0,0,0,0,1,0
"75","8281",1,0,0,40,7,0.5,0,1,1,0,0.93,1.844,0.387220249479995,1,0.089,0.205,0.345,2,0
"76","8281",0,0,0,54,12,3.5,1,1.6,2.56,0,1,1.844,0.387220249479995,1,0,0.207,0,1,0
"77","3768",0,0,0,38,9,6,0,0.5,0.25,0,0.67,1.844,0.387220249479995,1,1,0,0,1,0
"78","3768",1,0,0,34,9,5,1,0.9,0.81,0.332967032967033,0.42,1.844,0.387220249479995,1,0,0,1,1,0
"79","1526",1,0,0,60,4,0.5,1,0.9,0.81,0,0.47,1.837,1.20882418104671,1,0,0,1,1,0
"80","1526",0,0,0,68,7,0.5,1,1.3,1.69,0,0.65,1.837,1.20882418104671,1,0,0,1,1,0
"81","9742",1,0,0,52,7,0.333333333333333,0,0.9,0.81,0,0.68,1.837,1.20882418104671,0,0,0,1,2,0
"82","9742",0,0,0,79,9,4,1,1.2,1.44,0,4.93,1.837,1.20882418104671,0,0.016,0.407,0.031,1,0
"83","1626",0,0,0,45,7,8,0,0.85,0.7225,0,1.18,1.837,1.20882418104671,1,0,0,0,1,0
"84","1626",1,0,0,37,9,7,1,0.8,0.64,0,1.22,1.837,1.20882418104671,1,0,0,1,1,0
"85","6507",0,0,0,44,4,2,1,2.5,6.25,0,2.62,1.962,2.24180315191297,0,0,0,1,1,0
"86","6507",1,0,0,25,7,1,1,2.1,4.41,0,0.84,1.962,2.24180315191297,0,0.333,0,0,1,0
"87","3475",0,0,0,37,7,3.5,1,2,4,0.5,5.23,1.94,4.35652279756461,1,0,0,1,1,0
"88","8102",1,0,0,50,7,0.75,0,1.5,2.25,0,1.13,1.94,4.35652279756461,1,0.278,0.185,0.164,2,0
"89","7545",1,0,0,50,0,5,0,0.253,0.064009,0,0.2,1.94,4.35652279756461,1,0,0,1,1,0
"90","7545",0,0,0,60,7,5,0,0.25,0.0625,0,0.17,1.94,4.35652279756461,1,0,0,0,1,0
"91","1245",0,0,0,70,7,1.25,1,1,1,0.332967032967033,1.07,1.94,4.35652279756461,0,0,0,1,1,0
"92","1245",1,0,0,59,4,1.25,1,0.8,0.64,0.332967032967033,0.67,1.94,4.35652279756461,0,0.5,0,0.5,1,0
"93","1161",1,0,0,75,0,0.5,0,0.56,0.3136,0,0.36,1.94,4.35652279756461,0,0,0,1,1,0
"94","8102",0,0,0,62,9,6,1,1.8,3.24,0,4.72,1.94,4.35652279756461,1,0,1,0,1,0
"95","1161",0,0,0,76,4,0.5,0,0.45,0.2025,0,1,1.94,4.35652279756461,0,1,0,0,1,0
"96","3475",1,0,0,39,7,3.5,0,1.9,3.61,0.332967032967033,0.51,1.94,4.35652279756461,1,0.5,0,0.5,1,0
"97","2970",0,0,0,79,7,0.428571428571429,0,0.9,0.81,0,1.25,2.072,3.98106794272203,1,0,0.794,0.207,1,0
"98","2788",0,1,0,81,4,0.875,1,3,9,0,1.06,1.979,4.54632437580249,0,0,0,1,3,0
"99","2970",1,0,0,76,4,0.285714285714286,0,0.96,0.9216,0,0.65,2.072,3.98106794272203,1,0,0,1,1,0
"100","5175",1,0,0,52,7,3.5,1,0.4,0.16,0.700009884353069,0.92,1.979,4.54632437580249,1,0,0,1,2,0
"101","5175",0,0,0,67,7,3.5,1,0.4,0.16,0.700009884353069,0.9,1.979,4.54632437580249,1,1,0,0,2,0
"102","3033",0,0,0,40,9,1,1,1.5,2.25,0.176224264278237,9.42,1.979,4.54632437580249,0,0,0,1,3,0
"103","8528",1,0,0,67,4,2.5,0,2.8,7.84,0.176224264278237,0.59,1.979,4.54632437580249,0,0,0,1,2,0
"104","3033",1,0,0,35,7,1,1,1.3,1.69,0.176224264278237,0.39,1.979,4.54632437580249,0,0.333,0,0,2,0
"105","1888",1,0,0,50,7,0.583333333333333,1,3,9,0,0.77,2.074,4.92496006259138,1,0.114,0.135,0,1,0
"106","8528",0,0,0,78,9,1.8,1,1.8,3.24,0.299990115646931,0.52,1.979,4.54632437580249,0,0,1,0,2,1
"107","2125",0,0,0,58,7,5,1,0.4,0.16,0,0.62,2.072,3.98106794272203,0,0.504,0.13,0.169,1,0
"108","2125",1,0,0,50,7,5,1,0.424,0.179776,0,0.24,2.072,3.98106794272203,0,0,0,1,2,0
"109","1888",0,0,0,74,9,1.375,1,20,400,0,1.52,2.074,4.92496006259138,1,0,0,1,3,0
"110","7690",0,0,0,59,16,3,1,6,36,0,5.57,1.876,0.235438126210314,1,0,0,1,3,1
"111","7690",1,0,0,46,9,1.5,1,5,25,0,0.54,1.876,0.235438126210314,1,0.333,0,0,3,1
"112","5361",0,0,0,47,9,5,1,1.5,2.25,0.299990115646931,4.52,1.853,0.266695856945794,0,0,1,0,4,1
"113","8815",1,0,0,55,0,5,1,0.1,0.01,0,0.3,1.876,0.235438126210314,0,0,0,1,3,1
"114","5361",1,0,0,39,9,3.5,0,1.4,1.96,0,4.65,1.853,0.266695856945794,0,0,0,1,4,1
"115","8815",0,0,0,69,7,6,1,0.36,0.1296,0,0.26,1.876,0.235438126210314,0,1,0,0,3,1
"116","5070",0,0,0,62,9,1.25,1,1,1,0,1.02,1.876,0.235438126210314,0,0,0,1,3,1
"117","5070",1,0,0,50,15,0.5,1,0.8,0.64,0.332967032967033,0.43,1.876,0.235438126210314,0,0,1,0,3,1
"118","4406",1,0,0,39,9,1.75,0,0.9,0.81,0,0.86,1.853,0.266695856945794,0,0.083,0.219,0.194,2,0
"119","6371",0,0,0,69,9,1,0,0.42,0.1764,0,1.12,1.853,0.266695856945794,1,1,0,0,3,1
"120","6371",1,0,0,62,0,1,0,0.38,0.1444,0,0.5,1.853,0.266695856945794,1,0,0,1,3,1
"121","4406",0,0,0,43,7,1.75,0,1.8,3.24,0,0.42,1.853,0.266695856945794,0,0,1,0,2,0
"122","3946",0,0,0,69,15,1.66666666666667,1,1.25,1.5625,0.332967032967033,5.46,1.853,0.266695856945794,1,0,0,1,3,1
"123","3946",1,0,0,60,4,1,1,0.96,0.9216,0.332967032967033,0.57,1.853,0.266695856945794,1,0.574,0.123,0.127,3,1
"124","1180",1,0,0,38,7,2,1,0.5,0.25,0,0.64,1.876,0.235438126210314,0,0,0,1,2,1
"125","1180",0,0,0,51,7,2,1,0.6,0.36,0,1.14,1.876,0.235438126210314,0,0,0,1,2,1
"126","6555",0,0,0,68,9,1.2,1,2,4,0,0.34,1.865,0.570151299513025,0,0,0.333,0.333,2,0
"127","6555",1,0,0,50,4,1.33333333333333,0,2,4,0,0.26,1.865,0.570151299513025,0,0.171,0.254,0.096,3,1
"128","6655",1,0,0,60,7,2,1,0.8,0.64,0,0.54,1.865,0.570151299513025,0,0,0,1,3,1
"129","6655",0,0,0,65,9,2,1,1.1,1.21,0,0.53,1.865,0.570151299513025,0,0,0,1,3,1
"130","5416",0,0,0,63,7,2,1,0.45,0.2025,0.176224264278237,1.07,1.865,0.570151299513025,0,1,0,0,2,0
"131","5416",1,0,0,59,7,2,1,1.2,1.44,0,0.58,1.865,0.570151299513025,0,0,0,1,1,0
"132","7357",0,0,0,70,7,2,1,1.1,1.21,0,0.85,1.865,0.570151299513025,0,0,1,0,2,0
"133","7357",1,0,0,64,4,0.5,0,0.9,0.81,0,0.47,1.865,0.570151299513025,0,0.185,0.194,0.164,2,0
"134","1299",1,0,0,51,9,0.8,1,3.2,10.24,0.5,4.82,1.865,0.570151299513025,0,0.271,0.139,0.425,3,1
"135","2670",1,0,0,67,7,0.333333333333333,1,0.8,0.64,0,0.72,1.865,0.570151299513025,1,0,0,1,3,1
"136","1299",0,0,0,61,7,0.8,1,3.7,13.69,0.5,5.42,1.865,0.570151299513025,0,0,0,1,3,1
"137","2670",0,0,0,74,9,1,1,0.78,0.6084,0,5.72,1.865,0.570151299513025,1,0.666,0,0,3,1
"138","1597",0,1,0,65,7,1,1,0.856,0.732736,0.176224264278237,0.38,1.765,1.02974162934512,0,0,1,0,2,0
"139","7817",1,0,0,55,9,2.5,0,4,16,0,0.17,1.765,1.02974162934512,1,0,0,1,4,1
"140","7817",0,0,0,56,12,1,1,4,16,0,0.66,1.765,1.02974162934512,1,0,0.333,0.333,3,1
"141","1500",0,0,0,52,7,4,0,0.35,0.1225,0,0.97,1.733,1.53447947832893,1,1,0,0,4,0
"142","1500",1,0,0,45,0,4,0,0.3,0.09,0,1.11,1.733,1.53447947832893,1,0,0,0,4,0
"143","4700",0,0,0,59,9,2,1,3.5,12.25,0,0.6,1.733,1.53447947832893,0,0,0,1,4,0
"144","4700",1,0,0,53,7,2,1,3,9,0,0.54,1.733,1.53447947832893,0,1,0,0,5,1
"145","7559",0,0,0,45,16,1.14285714285714,1,4,16,0,0.95,1.765,1.02974162934512,0,0,0,1,5,1
"146","7559",1,0,0,41,9,1.14285714285714,1,3.5,12.25,0,0.35,1.765,1.02974162934512,0,0,0.473,0,5,1
"147","3240",0,0,0,44,7,2,0,1.2,1.44,0,0.92,1.733,1.53447947832893,0,1,0,0,2,0
"148","4904",1,0,0,80,4,6,0,0.32,0.1024,0,0.32,1.733,1.53447947832893,0,0.121,0.235,0.222,3,1
"149","3240",1,0,0,46,4,2,1,1,1,0,0.32,1.733,1.53447947832893,0,0,0,1,2,0
"150","4904",0,0,0,88,7,6,1,0.52,0.2704,0,0.32,1.733,1.53447947832893,0,0,1,0,2,0
"151","9032",0,0,0,56,9,0.5,1,1.6,2.56,0.299990115646931,0.72,1.885,1.01759763243102,1,0,1,0,2,0
"152","9032",1,0,0,45,9,0.5,1,1.6,2.56,0.299990115646931,0.27,1.885,1.01759763243102,1,0.4,0.172,0.136,2,0
"153","7617",0,0,0,43,7,6,1,3,9,0.299990115646931,0.77,1.825,0.140271877002632,1,0,0,1,4,0
"154","7617",1,0,0,38,7,6,1,0.8,0.64,0.299990115646931,0.24,1.825,0.140271877002632,1,0.667,0,0,1,0
"155","5820",0,0,0,48,16,7,1,0.7,0.49,0,1.02,1.885,1.01759763243102,0,1,0,0,3,1
"156","5820",1,0,0,43,16,7,1,0.8,0.64,0,0.16,1.885,1.01759763243102,0,0,0,1,2,1
"157","9418",0,0,0,80,9,0.666666666666667,1,1.2,1.44,0.142655367231638,0.74,1.825,0.140271877002632,1,0,0,1,5,0
"158","9418",1,0,0,70,7,0.555555555555556,1,1.5,2.25,0,0.44,1.825,0.140271877002632,1,0,0,1,3,1
"159","4211",1,0,0,54,0,6,1,2,4,0,0.37,1.885,1.01759763243102,1,0.002,0,0.309,4,1
"160","4211",0,0,0,70,9,5.66666666666667,1,2.1,4.41,0,1.02,1.885,1.01759763243102,1,0,0,0,2,0
"161","5150",1,0,0,40,9,7,1,1.7,2.89,0,0.17,1.885,1.01759763243102,0,0,0,1,2,0
"162","1627",1,1,1,65,4,0.75,1,0.7,0.49,0.142655367231638,0.64,1.825,0.140271877002632,0,0.148,0.386,0.372,1,0
"163","5150",0,0,0,43,9,7,1,1.7,2.89,0,1.02,1.885,1.01759763243102,0,1,0,0,2,0
"164","4591",0,0,0,92,4,0.666666666666667,1,10,100,0,0.16,1.825,0.140271877002632,0,0.048,0.427,0.394,5,0
"165","6734",1,0,0,74,4,4,0,0.9,0.81,0,0.02,1.834,0.663647775248228,1,0.112,0.133,0.134,3,0
"166","4591",1,0,0,78,0,0.666666666666667,1,7,49,0,0.15,1.825,0.140271877002632,0,0,0,1,3,0
"167","9963",0,0,0,52,12,1,0,0.3,0.09,0,0.21,1.885,1.01759763243102,0,1,0,0,2,0
"168","6734",0,0,0,75,7,4,1,0.91,0.8281,0,0.34,1.834,0.663647775248228,1,0.113,0.299,0.122,3,0
"169","5950",1,0,0,45,0,1,0,0.3,0.09,0,0.09,1.885,1.01759763243102,0,0,0,1,2,0
"170","5343",0,0,0,65,9,1.2,1,3,9,0,0.76,1.885,1.01759763243102,1,0.121,0.168,0.177,5,0
"171","5343",1,0,0,54,7,0.833333333333333,1,1.5,2.25,0,0.37,1.885,1.01759763243102,1,0.23,0.044,0.389,2,0
"172","5576",0,0,0,48,16,6,1,0.94,0.8836,0,1.22,1.834,0.663647775248228,0,0,0,1,3,0
"173","5950",0,0,0,42,9,7,0,0.37,0.1369,0,0.56,1.885,1.01759763243102,0,0,0,0,2,0
"174","5576",1,0,0,38,7,6,1,0.9,0.81,0,0.37,1.834,0.663647775248228,0,0.259,0.017,0.024,3,1
"175","8804",1,0,0,42,7,11,0,1.5,2.25,0,0.15,1.892,2.50102512962026,1,0.136,0.075,0.175,3,0
"176","4268",0,0,0,43,9,4,1,0.35,0.1225,0,1.52,1.892,2.50102512962026,1,1,0,0,1,0
"177","4268",1,0,0,29,9,4,1,0.3,0.09,0,0.24,1.892,2.50102512962026,1,0,0,1,1,0
"178","3129",0,0,0,64,9,0.333333333333333,1,2.6,6.76,0,1.46,1.892,2.50102512962026,0,0,1,0,2,0
"179","9888",0,0,0,61,4,0.6,1,1.5,2.25,0,1.77,1.892,2.50102512962026,1,0,0,1,6,0
"180","8741",1,0,0,74,4,6,0,0.9,0.81,0,4.17,1.892,2.50102512962026,0,0,0,1,3,1
"181","9888",1,0,0,56,0,0.428571428571429,1,1.1,1.21,0,0.57,1.892,2.50102512962026,1,0.333,0.333,0.333,2,0
"182","9578",0,0,0,43,9,1,1,0.8,0.64,0.142655367231638,0.53,1.892,2.50102512962026,0,0,0,1,5,1
"183","8804",0,0,0,53,9,6,1,1.6,2.56,0,0.34,1.892,2.50102512962026,1,0,1,0,3,0
"184","9578",1,0,0,30,9,6,1,2.5,6.25,0,0.25,1.892,2.50102512962026,0,0.167,0.333,0.333,1,0
"185","1881",1,0,0,65,0,1,0,0.9,0.81,0,0.05,1.892,2.50102512962026,0,0,0,1,1,0
"186","1881",0,0,0,77,4,1,0,0.7,0.49,0,0.4,1.892,2.50102512962026,0,1,0,0,1,0
"187","6084",0,0,0,41,9,3,1,3.5,12.25,0.176224264278237,0.99,1.892,2.50102512962026,0,0,0,1,5,1
